ID	lap_num	duration
01961775	0	0:00:08.561276
01961775	1	0:00:02.178086
01961775	2	0:00:04.020021
01961775	3	0:00:09.465233
01961768	0	0:00:22.428272
01961645	0	0:00:03.584009
01961645	1	0:00:01.090504
